,id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_department,number_children,remote_work
293,293,33,yes,travel_rarely,0,no aplica,2,2,no aplica,1,0,1,1,39,3,1, laboratory technician ,1,no aplica,0,21509,7,N/A,No,20,0,1,0,0,13,3,4,9,,1,7,,1990,1000000000$,,,True
294,294,52,no,no aplica,0,no aplica,2,4,life sciences,1,3290,1,0,79,2,5, manager ,3,no aplica,0,21030,1,N/A,Yes,18,3,4,80,0,33,2,4,33,,15,12,,1971,1000000000$,,,1
295,295,40,no,no aplica,0, research & development ,2,2,medical,1,0,1,0,49,3,5, research director ,3,no aplica,0,5949,0,N/A,No,19,3,4,0,1,0,5,3,21,,3,9,"19436,0",1983,1000000000$, REseARCH DirectOr  -  Research & Development ,,True
296,296,38,no,non-travel,0, sales ,2,2,life sciences,1,3610,4,0,39,2,2, sales executive ,4,no aplica,0,19682,3,N/A,No,18,3,4,0,1,13,0,3,8,,7,5,,1985,1000000000$, sAlES EXEcUtIVe  -  Sales ,,Yes
297,297,46,no,no aplica,0,no aplica,-27,3,no aplica,1,3630,27,1,75,1,4, manager ,2,marreid,0,14977,3,N/A,Yes,12,3,2,0,1,28,2,2,7,,7,7,,1977,1000000000$,,,0
298,298,45,no,travel_rarely,0,no aplica,20,2,medical,1,0,3,0,79,3,4, healthcare representative ,4,married,0,7501,0,Yes,Yes,14,3,2,0,0,21,2,3,20,,4,10,,1978,1000000000$,,,1
299,299,47,yes,non-travel,0,no aplica,-10,4,life sciences,1,3760,1,0,88,3,3, manager ,2,married,0,10268,1,N/A,N/A,12,3,4,0,1,0,2,2,10,,9,9,,1976,1000000000$,,,True
300,300,35,no,no aplica,0,no aplica,22,3,life sciences,1,3810,2,1,71,4,3, manager ,2,divorced,0,19100,7,Yes,N/A,18,0,2,0,1,10,6,2,7,,6,2,,1988,1000000000$,,,0
301,301,29,no,travel_frequently,0,no aplica,2,2,no aplica,1,3880,2,0,44,3,2, sales executive ,4,single,0,20260,1,Yes,N/A,18,3,1,0,0,0,3,0,10,,0,9,,1994,1000000000$,,,True
302,302,55,no,travel_rarely,0, research & development ,20,2,technical degree,1,3890,2,0,37,3,2, laboratory technician ,4,married,0,15972,3,Yes,N/A,19,0,4,0,1,12,4,3,10,,0,8,,1968,1000000000$, lABoraToRY teCHnIcIaN  -  Research & Development ,,True
303,303,26,yes,travel_rarely,0,no aplica,-45,4,no aplica,1,4010,4,0,48,2,2, sales executive ,4,single,0,8450,1,N/A,N/A,12,3,2,0,0,0,0,0,8,,7,4,"5828,0",1997,1000000000$,,,1
304,304,31,no,travel_rarely,0,no aplica,7,3,technical degree,1,4160,2,0,100,4,2, sales executive ,4,no aplica,0,12241,4,N/A,N/A,11,3,2,0,1,10,3,2,8,,7,7,,1992,1000000000$,,,Yes
305,305,43,no,travel_frequently,0,no aplica,10,4,life sciences,1,4300,3,1,33,3,1, laboratory technician ,4,no aplica,0,10675,0,Yes,No,19,3,1,0,0,0,5,3,8,,1,7,"2455,0",1980,1000000000$,,,Yes
306,306,31,no,travel_rarely,0,no aplica,-13,3,marketing,1,4380,4,0,73,3,2, sales executive ,4,no aplica,0,7143,4,Yes,N/A,12,3,4,0,3,13,3,3,7,,1,7,,1992,1000000000$,,,True
307,307,32,no,no aplica,0,no aplica,2,4,medical,1,0,1,1,74,4,2, research scientist ,4,single,0,10557,7,Yes,N/A,16,3,3,80,0,0,0,2,7,,0,7,"5055,0",1991,1000000000$,,,True
308,308,33,no,no aplica,0,no aplica,10,3,no aplica,1,4460,2,0,46,2,2, sales executive ,4,no aplica,0,4317,3,N/A,No,14,3,3,0,0,0,6,2,7,,0,1,"4682,0",1990,1000000000$,,,False
309,309,43,no,travel_frequently,0, research & development ,10,4,life sciences,1,4480,3,1,82,2,2, laboratory technician ,3,divorced,0,6227,1,Yes,No,11,0,2,80,1,9,3,4,9,,0,0,"5257,0",1980,1000000000$, LaBorATORy tEChnICiaN  -  Research & Development ,,0
310,310,29,yes,travel_rarely,0,no aplica,8,4,no aplica,1,4540,2,0,77,1,1, laboratory technician ,1,no aplica,0,4759,1,Yes,N/A,11,3,4,0,0,7,4,2,7,,0,7,"2119,0",1994,1000000000$,,,False
311,311,27,no,no aplica,0, sales ,8,4,no aplica,1,4580,2,1,56,3,2, sales executive ,2,no aplica,0,3415,1,Yes,No,18,3,1,0,1,8,3,3,8,,0,7,,1996,1000000000$, sales ExecutIvE  -  Sales ,,False
312,312,29,no,travel_rarely,0,no aplica,10,1,no aplica,1,0,4,1,39,2,2, sales executive ,2,divorced,0,11866,1,Yes,Yes,14,3,1,0,2,7,2,3,7,,1,7,,1994,1000000000$,,,False
313,313,37,no,no aplica,0,no aplica,6,3,medical,1,0,3,0,51,4,2, research scientist ,1,divorced,0,17001,4,N/A,N/A,13,3,1,80,2,13,2,3,7,,6,7,"5974,0",1986,1000000000$,,,0
314,314,26,no,travel_rarely,0,no aplica,1,3,no aplica,1,4760,3,0,57,3,2, sales executive ,3,no aplica,0,20156,1,Yes,N/A,17,3,2,80,1,0,3,3,8,,7,7,,1997,1000000000$,,,True
315,315,40,no,travel_rarely,0,no aplica,10,4,life sciences,1,4830,4,1,46,4,1, laboratory technician ,3,married,0,22495,3,Yes,Yes,13,3,3,0,1,0,3,3,7,,1,7,,1983,1000000000$,,,True
316,316,41,yes,no aplica,0,no aplica,4,3,no aplica,1,4880,1,0,56,3,2, sales executive ,2,no aplica,0,9558,1,N/A,No,18,3,3,0,0,8,5,3,8,,7,7,,1982,1000000000$,,,False
317,317,51,no,travel_rarely,0,no aplica,14,2,no aplica,1,5000,3,1,87,3,2, sales executive ,4,no aplica,0,14862,4,N/A,No,11,3,3,0,1,18,2,2,7,,0,7,,1972,1000000000$,,,Yes
318,318,37,no,no aplica,0,no aplica,14,3,no aplica,1,0,4,1,95,3,1, laboratory technician ,1,no aplica,0,26914,1,N/A,No,12,3,3,0,1,0,2,2,18,,12,17,"3034,0",1986,1000000000$,,,0
319,319,56,no,no aplica,0,no aplica,6,3,life sciences,1,0,3,1,86,4,4, sales executive ,1,married,0,18256,9,Yes,No,11,3,4,80,3,36,0,2,7,,7,7,"13212,0",1967,1000000000$,,,True
320,320,41,no,travel_rarely,0, sales ,1,3,marketing,1,5340,2,0,49,4,3, sales executive ,1,married,0,19566,1,N/A,N/A,16,3,3,80,1,10,2,3,10,,0,7,"8392,0",1982,1000000000$, sAles exECUtiVe  -  Sales ,,1
321,321,46,no,no aplica,0,no aplica,18,3,medical,1,0,3,1,87,3,2, manufacturing director ,3,no aplica,0,26314,2,Yes,No,14,3,3,0,1,19,5,2,10,,0,8,,1977,1000000000$,,,False
322,322,30,no,non-travel,0,no aplica,2,3,no aplica,1,0,3,1,49,3,1, laboratory technician ,4,single,0,7181,0,Yes,N/A,14,3,3,80,0,12,2,2,11,,6,7,,1993,1000000000$,,,False
323,323,35,no,travel_rarely,0,no aplica,16,3,life sciences,1,5860,4,0,72,3,3, healthcare representative ,3,no aplica,0,14295,4,N/A,Yes,12,3,3,0,0,10,2,3,8,,0,0,,1988,1000000000$,,,False
324,324,48,no,travel_rarely,0,no aplica,2,5,no aplica,1,5950,2,1,37,3,2, sales executive ,4,married,0,19658,2,N/A,No,14,3,1,0,1,14,2,3,9,,6,7,"4051,0",1975,1000000000$,,,True
325,325,45,no,travel_rarely,0,no aplica,2,3,other,1,0,4,0,61,3,2, sales executive ,2,no aplica,0,16177,0,N/A,No,19,3,2,0,1,0,3,4,8,,3,7,"4805,0",1978,1000000000$,,,True
326,326,26,yes,travel_frequently,0,no aplica,17,4,life sciences,1,6080,2,1,58,3,1, human resources ,3,no aplica,0,22808,0,Yes,Yes,11,3,2,80,1,8,2,0,7,,1,0,"2741,0",1997,1000000000$,,,True
327,327,41,no,no aplica,0,no aplica,2,4,other,1,6160,1,1,62,2,2, healthcare representative ,3,single,0,2112,2,Yes,Yes,17,3,1,80,0,10,3,3,8,,0,7,,1982,1000000000$,,,1
328,328,34,no,no aplica,0,no aplica,21,4,no aplica,1,6210,4,0,74,4,2, sales executive ,4,single,0,19921,1,N/A,N/A,12,3,4,80,0,10,3,3,10,,5,7,"5337,0",1989,1000000000$,,,True
329,329,31,no,travel_rarely,0,no aplica,6,4,medical,1,6530,1,0,66,4,2, sales executive ,4,divorced,0,6219,4,Yes,No,22,4,4,0,2,13,4,4,7,,5,7,,1992,1000000000$,,,1
330,330,43,no,travel_frequently,0,no aplica,9,5,no aplica,1,6630,4,0,72,3,2, laboratory technician ,3,divorced,0,19627,3,Yes,N/A,13,3,2,0,1,10,3,3,8,,4,7,,1980,1000000000$,,,0
331,331,53,no,no aplica,0, sales ,1,1,no aplica,1,6820,4,1,34,3,2, sales executive ,1,single,0,7507,7,Yes,N/A,20,4,4,0,0,18,2,4,14,,8,10,,1970,1000000000$, SALEs eXecuTiVE  -  Sales ,,False
332,332,37,no,travel_rarely,0,no aplica,3,3,other,1,0,3,0,36,3,3, manufacturing director ,3,married,0,9606,1,N/A,No,15,0,3,80,1,0,2,3,10,,7,8,"9434,0",1986,1000000000$,,,1
333,333,54,no,no aplica,0,no aplica,19,4,no aplica,1,0,3,0,88,3,3, human resources ,2,no aplica,0,6729,2,Yes,N/A,15,0,3,80,1,16,1,4,9,,7,1,,1969,1000000000$,,,True
334,334,38,no,travel_rarely,0, sales ,7,4,marketing,1,0,4,1,46,2,2, sales executive ,4,no aplica,0,7791,0,N/A,No,20,0,1,0,0,0,2,3,7,,0,5,,1985,1000000000$, SaleS executIVE  -  Sales ,,1
335,335,29,no,no aplica,0, research & development ,1,4,life sciences,1,7100,2,0,76,1,1, research scientist ,4,divorced,0,18959,1,Yes,N/A,18,3,4,0,1,10,5,3,10,,2,8,,1994,1000000000$, rEsEArCH sCIeNTIST  -  Research & Development ,,Yes
336,336,34,no,no aplica,0,no aplica,9,3,medical,1,7170,4,1,46,2,3, healthcare representative ,2,no aplica,0,17654,1,N/A,N/A,14,3,2,0,0,9,3,4,8,,7,7,,1989,1000000000$,,,0
337,337,39,no,no aplica,0,no aplica,2,4,technical degree,1,7210,4,1,80,2,2, healthcare representative ,3,single,0,20978,1,N/A,No,11,3,1,0,0,20,4,3,20,"7,0",11,10,,1984,1000000000$,,,0
338,338,32,no,no aplica,0,no aplica,10,3,marketing,1,7220,4,0,55,3,2, sales executive ,4,no aplica,0,21703,1,N/A,N/A,12,3,4,0,0,10,2,2,10,,0,8,"5396,0",1991,1000000000$,,,Yes
339,339,38,no,travel_rarely,0,no aplica,1,4,life sciences,1,7240,2,1,33,4,2, healthcare representative ,4,no aplica,0,19383,0,Yes,N/A,13,3,3,0,0,10,4,0,9,,1,8,,1985,1000000000$,,,1
340,340,27,no,travel_rarely,0,no aplica,1,2,life sciences,1,7250,3,1,0,3,3, manufacturing director ,1,married,0,6009,1,N/A,N/A,11,3,4,0,0,9,3,3,9,,0,7,,1996,1000000000$,,,False
341,341,32,no,travel_rarely,0,no aplica,3,2,life sciences,1,0,3,1,39,3,3, research director ,4,single,0,19373,3,N/A,N/A,15,3,4,0,0,10,6,3,7,,7,7,"11159,0",1991,1000000000$,,,False
342,342,47,no,no aplica,0,no aplica,-35,4,marketing,1,7280,4,0,42,3,2, sales executive ,1,single,0,11825,2,N/A,N/A,12,3,4,0,0,20,2,3,7,,1,7,"4960,0",1976,1000000000$,,,False
343,343,27,no,travel_frequently,0,no aplica,10,2,no aplica,1,7330,4,0,32,3,3, manufacturing director ,1,no aplica,0,4809,1,Yes,No,21,4,3,0,2,9,4,2,9,,1,7,"8793,0",1996,1000000000$,,,1
344,344,41,no,no aplica,0,no aplica,1,3,no aplica,1,7340,4,0,59,2,5, manager ,3,no aplica,0,19562,1,Yes,No,12,0,2,80,1,22,3,3,22,,2,10,"19189,0",1982,1000000000$,,,False
345,345,28,yes,no aplica,0, research & development ,-35,2,no aplica,1,0,35,1,67,1,1, research scientist ,2,no aplica,0,3872,7,N/A,Yes,13,3,4,80,0,10,4,3,7,,3,7,"2216,0",1995,1000000000$, reSEArch SCIEntIsT  -  Research & Development ,,1
346,346,36,no,no aplica,0, research & development ,8,3,no aplica,1,7420,1,1,63,4,3, research director ,1,married,0,20335,9,Yes,N/A,14,3,1,80,1,10,2,3,8,,0,5,"11713,0",1987,1000000000$, rESeArCh DIrEctor  -  Research & Development ,,False
347,347,30,no,no aplica,0,no aplica,27,5,marketing,1,7470,3,0,99,3,2, sales executive ,4,divorced,0,25275,7,Yes,No,23,0,4,80,1,10,2,2,8,,7,7,"5304,0",1993,1000000000$,,,True
348,348,56,no,travel_rarely,0,no aplica,9,3,no aplica,1,7620,3,0,81,3,4, healthcare representative ,4,married,0,20420,7,N/A,No,11,3,3,0,0,30,1,2,10,,1,1,"11103,0",1967,1000000000$,,,False
349,349,45,no,travel_rarely,0,no aplica,2,2,no aplica,1,7830,2,0,46,1,2, sales representative ,3,single,0,12388,0,N/A,No,13,3,1,0,0,9,3,3,8,,3,1,"6632,0",1978,1000000000$,,,1
350,350,36,no,non-travel,0,no aplica,8,4,no aplica,1,7890,1,0,76,2,3, sales executive ,1,single,0,14229,1,Yes,N/A,15,3,2,80,0,10,1,3,10,,0,9,"7587,0",1987,1000000000$,,,False
351,351,29,no,no aplica,0,no aplica,27,3,medical,1,7930,2,1,66,3,2, healthcare representative ,3,married,0,25549,4,N/A,No,12,3,1,0,1,11,3,2,8,,1,1,"4335,0",1994,1000000000$,,,1
352,352,38,no,no aplica,0,no aplica,2,4,life sciences,1,8030,1,1,75,4,2, manufacturing director ,1,single,0,26085,6,N/A,N/A,12,3,4,0,0,17,2,3,15,,4,12,"5980,0",1985,1000000000$,,,True
353,353,40,no,no aplica,0,no aplica,-13,2,medical,1,0,13,1,38,4,2, healthcare representative ,2,no aplica,0,9931,1,Yes,No,24,4,4,0,1,8,2,3,8,,3,7,"4244,0",1983,1000000000$,,,1
354,354,42,no,travel_frequently,0,no aplica,8,3,no aplica,1,8090,2,0,66,3,5, manager ,4,no aplica,0,16225,1,N/A,No,13,3,2,0,1,24,4,2,24,,14,9,,1981,1000000000$,,,1
355,355,36,no,travel_rarely,0,no aplica,1,3,other,1,8230,3,1,35,3,2, manufacturing director ,2,no aplica,0,23361,0,N/A,N/A,15,3,1,0,1,0,2,3,9,,0,5,"5228,0",1987,1000000000$,,,False
356,356,29,no,travel_rarely,0,no aplica,23,2,no aplica,1,0,3,0,81,4,1, research scientist ,3,married,0,23779,1,N/A,N/A,24,4,3,0,1,10,3,3,10,,0,7,"2700,0",1994,1000000000$,,,1
357,357,0,yes,no aplica,0,no aplica,2,1,medical,1,8420,3,0,37,3,2, sales executive ,4,single,0,21519,4,Yes,N/A,16,3,3,80,0,0,3,2,9,,7,3,,1968,1000000000$,,,False
358,358,28,no,no aplica,0, sales ,2,4,no aplica,1,0,2,1,81,3,2, sales executive ,2,no aplica,0,3698,1,Yes,N/A,20,4,1,0,0,8,2,3,8,,7,5,,1995,1000000000$, saLES ExECUtiVe  -  Sales ,,1
359,359,26,yes,no aplica,0,no aplica,5,2,medical,1,0,3,1,88,2,1, research scientist ,3,married,0,20898,1,N/A,N/A,14,3,1,0,1,8,2,3,8,,1,7,"2366,0",1997,1000000000$,,,1
360,360,44,no,no aplica,0,no aplica,9,2,no aplica,1,9130,2,0,61,3,1, research scientist ,1,no aplica,0,7508,1,N/A,Yes,13,3,4,80,0,8,0,3,8,,7,1,,1979,1000000000$,,,1
361,361,41,yes,no aplica,0, research & development ,2,4,life sciences,1,9270,2,1,57,1,1, laboratory technician ,4,divorced,0,17725,4,N/A,Yes,13,3,3,80,1,0,1,2,7,,1,0,,1982,1000000000$, LaboRATory tEchNICIAn  -  Research & Development ,,True
362,362,31,no,travel_rarely,0,no aplica,7,4,no aplica,1,9410,2,0,41,2,1, sales representative ,3,no aplica,0,11737,3,N/A,N/A,15,0,2,80,0,0,2,4,7,,5,2,"2329,0",1992,1000000000$,,,0
363,363,26,no,travel_frequently,0, sales ,-28,3,medical,1,9560,28,0,52,2,2, sales executive ,1,no aplica,0,11148,1,Yes,N/A,12,3,2,0,0,0,2,3,7,,0,7,"4294,0",1997,1000000000$, SAlEs exECUtIVe  -  Sales ,,Yes
364,364,31,no,no aplica,0,no aplica,12,3,medical,1,0,4,1,41,3,2, healthcare representative ,4,no aplica,0,17369,0,N/A,N/A,11,3,3,0,2,10,2,1,9,,8,5,,1992,1000000000$,,,False
365,365,32,no,no aplica,0,no aplica,3,4,medical,1,9660,3,1,93,3,2, manufacturing director ,1,married,0,13554,1,N/A,N/A,12,3,3,0,1,8,2,4,8,,6,3,"6725,0",1991,1000000000$,,,0
366,366,36,yes,travel_rarely,0,no aplica,3,1,life sciences,1,9670,3,0,51,2,3, sales executive ,4,married,0,5518,1,Yes,N/A,11,0,1,0,1,0,6,3,16,,3,7,"10325,0",1987,1000000000$,,,0
367,367,45,no,non-travel,0,no aplica,-47,2,no aplica,1,9720,47,0,57,3,2, laboratory technician ,2,no aplica,0,23163,1,N/A,N/A,12,3,2,0,0,0,5,2,9,,0,8,"4447,0",1978,1000000000$,,,1
368,368,39,no,travel_rarely,0,no aplica,2,5,no aplica,1,0,1,0,41,4,3, sales executive ,3,single,0,2560,0,N/A,No,18,3,4,0,0,9,3,3,8,,0,7,,1984,1000000000$,,,0
369,369,36,no,non-travel,0,no aplica,8,4,technical degree,1,9900,1,0,84,3,2, sales executive ,4,divorced,0,25952,4,N/A,No,13,0,4,0,2,12,3,3,7,,0,7,,1987,1000000000$,,,Yes
370,370,46,no,no aplica,0,no aplica,7,2,medical,1,0,4,0,0,3,3, manufacturing director ,3,no aplica,0,24208,6,Yes,N/A,13,3,2,0,1,0,3,3,8,,0,7,"10845,0",1977,1000000000$,,,0
371,371,54,no,travel_rarely,0,no aplica,17,3,technical degree,1,10130,3,1,56,3,3, manufacturing director ,3,no aplica,0,13943,8,N/A,N/A,11,0,3,80,1,22,2,3,10,,0,8,,1969,1000000000$,,,True
372,372,30,no,travel_rarely,0,no aplica,8,2,no aplica,1,10150,2,1,73,4,3, research director ,1,no aplica,0,17802,0,Yes,Yes,12,3,3,0,3,0,4,2,8,,1,7,,1993,1000000000$,,,True
373,373,26,no,no aplica,0,no aplica,2,2,medical,1,10180,4,0,32,4,2, manufacturing director ,4,married,0,3334,1,N/A,N/A,12,3,2,0,0,0,2,3,8,,1,3,"5472,0",1997,1000000000$,,,0
374,374,55,no,travel_frequently,0,no aplica,18,4,medical,1,10340,3,0,62,3,2, healthcare representative ,2,married,0,12992,3,N/A,N/A,14,3,4,80,2,0,3,3,8,,6,7,"6385,0",1968,1000000000$,,,1
375,375,50,no,non-travel,0, sales ,1,3,life sciences,1,0,4,1,95,3,2, sales executive ,3,married,0,24920,0,Yes,N/A,12,3,1,0,1,0,3,3,18,,0,13,"6347,0",1973,1000000000$, salEs eXECuTivE  -  Sales ,,True
376,376,32,no,non-travel,0,no aplica,29,4,no aplica,1,10460,4,1,69,3,1, laboratory technician ,3,single,0,11135,9,N/A,No,12,3,2,0,0,10,2,3,8,,7,7,,1991,1000000000$,,,1
377,377,53,no,travel_frequently,0,no aplica,2,3,marketing,1,10500,3,1,38,2,3, sales executive ,2,no aplica,0,23537,2,N/A,N/A,12,3,1,0,1,30,2,0,15,,6,12,"7525,0",1970,1000000000$,,,1
378,378,40,no,travel_rarely,0,no aplica,26,3,no aplica,1,0,3,0,74,3,2, sales executive ,1,married,0,22217,1,N/A,N/A,14,3,2,80,1,8,3,2,7,,7,5,,1983,1000000000$,,,0
379,379,55,no,no aplica,0,no aplica,2,1,no aplica,1,10740,3,0,40,2,4, manager ,1,single,0,17323,7,N/A,No,15,3,2,0,0,0,3,4,9,,6,2,,1968,1000000000$,,,True
380,380,28,yes,non-travel,0,no aplica,24,2,no aplica,1,10820,2,0,72,2,3, healthcare representative ,1,single,0,12355,1,Yes,No,12,3,1,0,0,10,2,2,10,,1,9,,1995,1000000000$,,,False
381,381,28,no,travel_rarely,0,no aplica,10,3,other,1,10970,3,1,59,3,2, research scientist ,3,single,0,7909,3,N/A,No,13,3,4,80,0,0,4,4,8,,1,7,"3660,0",1995,1000000000$,,,Yes
382,382,35,yes,no aplica,0,no aplica,4,3,technical degree,1,11000,4,0,86,3,3, sales executive ,1,no aplica,0,10333,0,Yes,N/A,22,4,1,80,0,9,2,3,8,,4,7,,1988,1000000000$,,,Yes
383,383,33,yes,travel_frequently,0, research & development ,-36,4,medical,1,11010,36,1,54,2,2, research scientist ,3,single,0,3129,1,N/A,No,22,4,2,0,0,14,4,3,13,,3,8,,1990,1000000000$, ReseaRch scIenTisT  -  Research & Development ,,1
384,384,25,yes,no aplica,0, research & development ,4,1,technical degree,1,11060,4,0,32,3,1, laboratory technician ,4,married,0,4605,1,Yes,N/A,15,0,2,0,1,7,3,4,7,,5,6,,1998,1000000000$, LaBoraTORY teCHNiCIaN  -  Research & Development ,,Yes
385,385,38,no,no aplica,0, sales ,10,4,no aplica,1,11190,3,0,0,2,3, sales executive ,3,no aplica,0,5569,0,N/A,Yes,14,3,2,0,2,9,2,0,8,,2,7,"8740,0",1985,1000000000$, sALEs ExeCuTive  -  Sales ,,True
386,386,28,no,no aplica,0,no aplica,-12,3,no aplica,1,0,12,1,93,3,3, manufacturing director ,2,no aplica,0,8039,0,N/A,N/A,17,3,2,80,3,0,3,2,9,,1,7,,1995,1000000000$,,,True
387,387,43,no,travel_frequently,0,no aplica,27,3,life sciences,1,11260,3,1,83,3,3, manufacturing director ,1,married,0,11535,8,N/A,No,11,3,3,0,1,18,1,3,8,,0,1,,1980,1000000000$,,,False
388,388,39,yes,travel_frequently,0, research & development ,2,3,life sciences,1,0,1,0,84,3,4, healthcare representative ,4,no aplica,0,13547,7,N/A,No,11,3,4,0,3,21,4,3,18,,11,5,,1984,1000000000$, heALtHCARE rePResENtAtivE  -  Research & Development ,,0
389,389,40,no,travel_rarely,0,no aplica,14,3,no aplica,1,11280,3,0,44,2,5, research director ,3,no aplica,0,17544,1,Yes,No,14,0,1,80,0,0,2,0,20,,4,9,,1983,1000000000$,,,Yes
390,390,29,no,travel_rarely,0,no aplica,8,1,medical,1,0,2,0,79,2,2, manufacturing director ,4,married,0,17689,1,N/A,N/A,15,3,3,80,1,10,2,2,10,,1,2,,1994,1000000000$,,,Yes
391,391,40,no,no aplica,0,no aplica,-32,4,no aplica,1,0,2,1,88,3,3, research director ,3,no aplica,0,13782,9,N/A,No,17,3,3,0,0,20,3,2,18,,2,13,"13499,0",1983,1000000000$,,,0
392,392,26,no,travel_rarely,0,no aplica,3,4,no aplica,1,11770,1,0,82,4,1, laboratory technician ,4,no aplica,0,13421,1,Yes,N/A,22,4,2,0,1,8,2,3,8,,0,7,,1997,1000000000$,,,True
393,393,35,no,travel_rarely,0,no aplica,2,3,no aplica,1,11820,3,0,44,2,3, manufacturing director ,2,divorced,0,19588,2,N/A,No,18,3,2,80,1,15,2,4,7,,6,4,,1988,1000000000$,,,Yes
394,394,53,no,no aplica,0, research & development ,7,2,medical,1,12010,4,1,50,3,5, manager ,3,divorced,0,18640,3,Yes,No,18,3,2,0,1,26,6,3,7,,4,7,,1970,1000000000$, ManAgEr  -  Research & Development ,,0
395,395,35,no,no aplica,0,no aplica,17,4,life sciences,1,12180,3,0,94,3,2, sales executive ,1,no aplica,0,21026,3,Yes,N/A,15,3,4,0,3,15,2,3,7,,1,7,,1988,1000000000$,,,1
396,396,33,no,no aplica,0,no aplica,25,3,medical,1,12200,2,1,0,3,2, sales executive ,3,no aplica,0,4905,1,N/A,No,12,3,1,0,1,0,3,2,10,,0,1,,1990,1000000000$,,,1
397,397,36,no,no aplica,0, research & development ,6,4,life sciences,1,0,3,0,60,1,1, laboratory technician ,3,divorced,0,6865,1,Yes,No,14,3,3,0,1,0,4,3,7,,1,7,,1987,1000000000$, laboRAtORy TecHnICiAN  -  Research & Development ,,1
398,398,30,no,travel_rarely,0,no aplica,7,4,life sciences,1,12240,3,0,49,3,2, laboratory technician ,3,divorced,0,11309,1,N/A,N/A,13,0,1,0,3,0,4,2,10,,8,9,"3491,0",1993,1000000000$,,,True
399,399,60,no,no aplica,0,no aplica,-29,4,no aplica,1,0,29,0,52,4,2, sales executive ,4,divorced,0,10893,0,N/A,N/A,18,3,2,0,1,12,3,3,11,,1,9,"5220,0",1963,1000000000$,,,True
400,400,32,no,no aplica,0,no aplica,2,2,life sciences,1,12350,4,1,38,3,2, research scientist ,3,single,0,2338,4,Yes,Yes,14,3,4,0,0,10,2,3,8,,0,7,,1991,1000000000$,,,0
401,401,36,no,no aplica,0,no aplica,1,3,technical degree,1,12370,3,1,0,1,3, manufacturing director ,1,divorced,0,4235,2,N/A,Yes,21,4,3,0,1,17,2,3,7,,7,7,"10252,0",1987,1000000000$,,,Yes
402,402,27,no,travel_rarely,0,no aplica,14,3,no aplica,1,0,1,0,42,3,1, research scientist ,1,no aplica,0,14377,1,N/A,N/A,14,3,4,80,2,0,3,2,9,,6,8,,1996,1000000000$,,,Yes
403,403,43,no,no aplica,0, research & development ,3,3,life sciences,1,12550,3,0,96,1,5, research director ,4,no aplica,0,18625,3,Yes,No,14,3,2,80,1,0,2,3,8,,0,7,"19740,0",1980,1000000000$, ReSeARCH diRECtoR  -  Research & Development ,,Yes
404,404,29,no,travel_rarely,0,no aplica,1,3,no aplica,1,12640,4,1,0,2,4, research director ,4,divorced,0,3423,3,Yes,No,14,3,2,0,2,9,2,2,7,,1,7,,1994,1000000000$,,,True
405,405,59,no,no aplica,0,no aplica,-24,4,no aplica,1,12830,24,0,67,3,3, manufacturing director ,4,single,0,20002,6,N/A,No,12,3,4,0,0,0,6,2,9,,5,4,,1964,1000000000$,,,False
406,406,43,no,travel_rarely,0,no aplica,4,4,marketing,1,12930,4,1,56,2,3, sales executive ,4,single,0,20364,3,N/A,No,14,3,4,0,0,23,3,4,21,,15,17,,1980,1000000000$,,,Yes
407,407,44,yes,travel_rarely,0,no aplica,15,3,medical,1,12950,1,1,73,3,3, healthcare representative ,4,married,0,14075,1,Yes,N/A,11,3,4,80,1,0,2,3,10,,0,5,,1979,1000000000$,,,Yes
408,408,29,yes,no aplica,0, research & development ,7,3,technical degree,1,0,2,1,39,3,1, laboratory technician ,3,divorced,0,17285,3,N/A,Yes,13,3,1,0,2,10,2,3,7,,7,7,,1994,1000000000$, LAborAtOry TEchniCIAn  -  Research & Development ,,1
409,409,32,no,travel_rarely,0,no aplica,8,3,no aplica,1,0,3,0,56,4,2, sales executive ,4,married,0,11693,1,N/A,N/A,15,3,3,0,2,0,4,4,10,,0,8,"6209,0",1991,1000000000$,,,False
410,410,36,no,travel_rarely,0,no aplica,10,4,technical degree,1,0,4,1,63,3,3, healthcare representative ,3,married,0,5747,3,Yes,No,12,3,1,0,0,0,0,3,7,,1,7,"7094,0",1987,1000000000$,,,True
411,411,0,yes,no aplica,0, sales ,5,3,no aplica,1,0,2,0,64,3,3, sales executive ,2,single,0,21534,9,Yes,Yes,19,3,3,0,0,0,2,2,8,,7,7,,1971,1000000000$, SaLeS eXECutiVE  -  Sales ,,Yes
412,412,39,no,travel_rarely,0,no aplica,-33,2,no aplica,1,13220,1,0,32,3,2, manufacturing director ,3,single,0,13352,0,N/A,N/A,11,3,1,0,0,0,6,0,8,,1,7,"4534,0",1984,1000000000$,,,True
